NAME,C_VALUE,H_VALUE,L_VALUE,A_VALUE,B_VALUE
"29bp 11",47.39,25.49,35.36,42.78,20.39
"29bp 11",43.34,24.71,35.69,39.38,18.12
"29bp 11",48.73,27.09,34.29,43.38,22.19
"29bp 11",45.64,29.19,37.56,39.84,22.26
"29bp 11",46.9,28.28,37.4,41.3,22.22
"29bp 11",53.05,30.24,42.69,45.83,26.72
"29bp 13",53.72,33.04,41.35,45.03,29.28
"29bp 13",44.06,29.51,35.83,38.34,21.7
"29bp 13",45.94,26.64,37.8,41.06,20.59
"29bp 13",40.78,24.56,34.53,37.09,16.95
"29bp 13",33.8,21.89,33.29,31.36,12.6
"29bp 13",42.32,25.79,38.47,38.11,18.41
"29bp 13",48.23,28.16,38.09,42.52,22.76
"29bp 13",41.37,21.94,33.38,38.38,15.46
"29bp 13",43.28,22.53,35.16,39.97,16.58
"29bp 13",41.96,27.67,36.86,37.16,19.49
"29bp 13",41.38,25.54,37.23,37.33,17.84
"29bp 13",41.23,23.07,37.25,37.93,16.15
"29bp 13",35.57,33.47,33,29.67,19.62
"29bp 13",42.25,24.37,32.49,38.49,17.43
"29bp 13",48.77,32.77,37.93,41.01,26.4
"29bp 13",45.49,25.39,33.04,41.09,19.51
"29bp 13",44.96,26.9,34.12,40.1,20.34
"29bp 13",39.7,22.2,31.76,36.76,15
"29bp 13",42.09,23.16,33.48,38.7,16.56
"29bp 13",51.2,27.84,36.4,45.28,23.91
"29bp 13",47.39,27.62,35.11,41.99,21.97
"29bp 13",48.34,31.19,39.7,41.35,25.03
"29bp 13",50.92,39.98,51.73,39.02,32.72
"29bp 13",45.54,40.88,51.01,34.43,29.81
"29bp 13",46.46,43.54,55.8,33.68,32
"29bp 13",44.92,27.57,33.32,39.82,20.79
"29bp 13",47.7,28.69,34.83,41.85,22.9
"29bp 13",46.82,30.99,34.13,40.14,24.11
"29bp 13",40.92,25.29,32.25,37,17.48
"29bp 13",43.13,27.84,35.03,38.14,20.14
"29bp 13",40.33,24.33,31.82,36.74,16.62
"29bp 13",44.74,32,36,37.94,23.71
"29bp 13",43.87,26.17,31.53,39.37,19.34
"29bp 13",40.31,28.59,32.67,35.39,19.29
"29bp 13",50.61,25.76,35.33,45.58,22
"29bp 13",51.58,28.6,35.55,45.29,24.69
"29bp 13",43.92,26.48,34.2,39.31,19.58
"29bp 13",42.77,23.75,32.31,39.14,17.23
"29bp 13",48.67,24.88,34.11,44.15,20.48
"29bp 13",42.84,30.52,27.06,36.9,21.75
"29bp 13",47.69,35.68,38.86,38.74,27.82
"29bp 13",49.41,32.77,36.65,41.55,26.74
"29bp 13",51.62,30.5,35.29,44.48,26.2
"29bp 13",47.23,27.14,36.15,42.03,21.55
"29bp 13",51.3,31.03,37.81,43.96,26.44
"29bp 13",49.42,31.23,33.95,42.26,25.62
"29bp 13",53.98,33.34,38.95,45.09,29.67
"29bp 13",47.39,26.28,34.13,42.49,20.98
"29bp 13",46.95,24.3,34.21,42.79,19.33
"29bp 13",52.75,32.69,42.9,44.4,28.49
"29bp 13",53.57,31.46,42.58,45.7,27.96
"29bp 13",52,30.43,41.82,44.84,26.33
"29bp 13",44.94,32.46,42.18,37.92,24.12
"29bp 13",49.87,29.96,38.82,43.21,24.91
"29bp 13",38.52,22.31,34.27,35.63,14.62
"29bp 13",36.47,21.8,34.6,33.86,13.54
